Number,State/UT,Admin_Capital,Legislative_Capital,Judiciary_Capital,Year_Capital,Former_Capital
"1
",Andaman and Nicobar Islands,Port Blair," —
","Kolkata
","1955
","Calcutta (1945–1955)
"
"2
",Andhra Pradesh,Hyderabad,Amaravati,Amaravati,1956,Kurnool
"3
",Arunachal Pradesh,Itanagar,"Itanagar
",Guwahati,"1986
"," —
"
"4
",Assam,Dispur,Guwahati,"Guwahati
","1975
",Shillong
"5
",Bihar,Patna,"Patna
","Patna
","1912
"," —
"
"6
",Chandigarh,Chandigarh," —
","Chandigarh
","1966
"," —
"
"7
",Chhattisgarh,Raipur,"Raipur
",Bilaspur,"2000
"," —
"
"8
",Dadra and Nagar Haveli and Daman and Diu,Daman," —
",Mumbai,"1945
",Mumbai (1954–1961) 
"9
",National Capital Territory of Delhi,New Delhi,"New Delhi
","New Delhi
","1931
"," —
"
"10
",Goa,Panaji,Porvorim,Mumbai,"1961
","Panaji (1961–1987)
"
"11
",Gujarat,Gandhinagar,"Gandhinagar
",Ahmedabad,"1960
",Ahmedabad
"12
",Haryana,Chandigarh,"Chandigarh
","Chandigarh
","1966
"," —
"
"13
",Himachal Pradesh,Shimla,Shimla (Summer),"Shimla 
",1971,Bilaspur
"14
",Jammu and Kashmir,Srinagar,Srinagar (Summer),Srinagar (Summer),"2019
"," —
"
"15
",Jharkhand,Ranchi,"Ranchi
","Ranchi
","2000
"," —
"
"16
",Karnataka,Bangalore,"Bangalore
","Bangalore
","1940
","(Mysore)
"
"17
",Kerala,Thiruvananthapuram,"Thiruvananthapuram
",Kochi,"1956
"," —
"
"18
",Ladakh,Leh," —
",Srinagar (Summer),"2019
",Srinagar (Summer)
"19
",Lakshadweep,Kavaratti," —
",Kochi,"1956
"," —
"
"20
",Madhya Pradesh,Bhopal,"Bhopal
",Jabalpur,"1956
",Nagpur
"21
",Maharashtra,Mumbai,"Mumbai (Summer)
","Mumbai
","1818
"," —
"
"22
",Manipur,Imphal,"Imphal
","Imphal
","1947
"," —
"
"23
",Meghalaya,Shillong,"Shillong
","Shillong
","1970
"," —
"
"24
",Mizoram,Aizawl,"Aizawl
",Guwahati,"1972
"," —
"
"25
",Nagaland,Kohima,"Kohima
",Guwahati,"1963
"," —
"
"26
",Odisha,Bhubaneswar,"Bhubaneswar
",Cuttack,"1948
",Cuttack
"27
",Puducherry,Pondicherry,"Pondicherry
",Chennai,"1954
",Madras
"28
",Punjab,Chandigarh,"Chandigarh
","Chandigarh
","1966
"," —
"
"29
",Rajasthan,Jaipur,"Jaipur
",Jodhpur,"1950
"," —
"
"30
",Sikkim,Gangtok,"Gangtok
","Gangtok
","1890
"," —
"
"31
",Tamil Nadu,Chennai,"Chennai
","Chennai
","1956
"," —
"
"32
",Telangana,Hyderabad,"Hyderabad
","Hyderabad
","2014
"," —
"
"33
",Tripura,Agartala,"Agartala
","Agartala
","1956
"," —
"
"34
",Uttar Pradesh,Lucknow,"Lucknow
",Allahabad,"1938
"," —
"
"35
",Uttarakhand,Dehradun,"Dehradun
",Nainital,"2000
"," —
"
"36
",West Bengal,Kolkata,"Kolkata
","Kolkata
","1947
"," —
"
